query_id,rank,doc_id,is_labeled_relevant,source_file,page,page_end,score,matched_terms,title,snippet
q01,1,sales_core_p0096_002,True,sales_core.pdf,96,96,33,Lead conversion|duplicate Account|duplicate records|convert lead,Sales Core Guide p96 chunk 2: Troubleshoot Lead Conversion EDITIONS Available in Salesforce Classic not available,Troubleshoot Lead Conversion EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro Suite...
q01,2,sales_core_p0095_001,False,sales_core.pdf,95,95,36,Lead conversion|duplicate records|matching rules|duplicate rules|convert lead,Sales Core Guide p95 chunk 1: Convert Qualified Leads EDITIONS Available in Salesforce Classic not available,Convert Qualified Leads EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro Suite and...
q01,3,sales_core_p0103_004,False,sales_core.pdf,103,103,36,Lead conversion|duplicate records|matching rules|duplicate rules|convert lead,Sales Core Guide p103 chunk 4: a lead possible matches appear based on matching rules using,a lead possible matches appear based on matching rules using standard fields When you click Convert additional matches can appear based on matching rules using custom fields How these duplicate records are handled...
q01,4,sales_core_p0218_022,False,sales_core.pdf,218,218,18,duplicate Account|duplicate records|matching rules,Sales Core Guide p218 chunk 22: Merge Duplicate Accounts in Lightning Experience EDITIONS Available in Lightning,Merge Duplicate Accounts in Lightning Experience EDITIONS Available in Lightning Experience Available in Essentials Professional Enterprise Performance Unlimited and Developer Editions USER PERMISSIONS To view...
q01,5,mc_journeys_and_automations_p0366_044,False,mc_journeys_and_automations.pdf,366,366,12,convert lead,Marketing Cloud Journeys and Automations p366 chunk 44: Convert Lead Activity Use the Convert Lead activity in Journey,Convert Lead Activity Use the Convert Lead activity in Journey Builder to convert qualified leads from Sales and Service Cloud into a contact or an account Assign a lead owner and notify that person via email Create...
q01,6,sales_core_p0104_005,False,sales_core.pdf,104,104,9,Lead conversion,Sales Core Guide p104 chunk 5: If the lead has a record type the default record,If the lead has a record type the default record type of the user converting the lead is assigned to records created during lead conversion The default record type of the user converting the lead determines the lead...
q01,7,sales_core_p0109_007,False,sales_core.pdf,109,109,9,Lead conversion|convert lead,Sales Core Guide p109 chunk 7: Lead Conversion Field Mapping EDITIONS Available in Salesforce Classic not,Lead Conversion Field Mapping EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro Suite...
q01,8,sales_core_p0220_023,False,sales_core.pdf,220,220,9,duplicate Account,Sales Core Guide p220 chunk 23: Merge Duplicate Accounts in Salesforce Classic EDITIONS Available in Salesforce,Merge Duplicate Accounts in Salesforce Classic EDITIONS Available in Salesforce Classic not available in all orgs Business accounts available in All Editions except Database com Person accounts available in Enterprise...
q01,9,extend_click_automate_p0329_021,False,extend_click_automate.pdf,329,329,6,duplicate records,Salesforce Flow and Click-Based Automation Guide p329 chunk 21: Considerations If a Create Records element uses a record collection,Considerations If a Create Records element uses a record collection doesn t have a fault path and the flow fails no records are created and the flow stops generating an error If a Create Records element uses a record...
q01,10,mc_email_p0221_025,False,mc_email.pdf,221,221,6,duplicate records,Marketing Cloud Email Guide p221 chunk 25: Enable Send Logging for a User-Initiated or Triggered Send Enable,Enable Send Logging for a User-Initiated or Triggered Send Enable send logging in Email Studio to track user-initiated and triggered send data in a Marketing Cloud Engagement data extension 1 Click Interactions 2...
q01,11,sales_core_p0102_003,False,sales_core.pdf,102,102,6,Lead conversion,Sales Core Guide p102 chunk 3: Considerations for Converting Leads EDITIONS Available in Salesforce Classic not,Considerations for Converting Leads EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro...
q01,12,salesforce_apex_developer_guide_p0145_007,False,salesforce_apex_developer_guide.pdf,145,145,6,duplicate records,Salesforce Apex Developer Guide p145 chunk 7: The Database class also provides methods not available as DML,The Database class also provides methods not available as DML statements such as methods transaction control and rollback emptying the Recycle Bin and methods related to SOQL queries SEE ALSO Apex Reference Guide...
q02,1,sales_core_p0218_022,True,sales_core.pdf,218,218,33,merge duplicate accounts|Lightning Experience|View Duplicates|account owner|role hierarchy,Sales Core Guide p218 chunk 22: Merge Duplicate Accounts in Lightning Experience EDITIONS Available in Lightning,Merge Duplicate Accounts in Lightning Experience EDITIONS Available in Lightning Experience Available in Essentials Professional Enterprise Performance Unlimited and Developer Editions USER PERMISSIONS To view...
q02,2,lightning_knowledge_guide_p0015_010,False,lightning_knowledge_guide.pdf,15,15,21,Lightning Experience,Lightning Knowledge Guide p15 chunk 10: General Usage Limitations for Lightning Knowledge Some authoring actions work,General Usage Limitations for Lightning Knowledge Some authoring actions work differently or aren t available in Lightning Knowledge You can t remove a published article while editing it Instead the article remains...
q02,3,lightning_knowledge_guide_p0030_017,False,lightning_knowledge_guide.pdf,30,30,21,Lightning Experience,Lightning Knowledge Guide p30 chunk 17: Use Your Lightning Knowledge Base EDITIONS Available in Lightning Experience,Use Your Lightning Knowledge Base EDITIONS Available in Lightning Experience Salesforce Knowledge is available in Essentials and Unlimited Editions with Service Cloud Salesforce Knowledge is available for an...
q02,4,sales_core_p0220_023,False,sales_core.pdf,220,220,18,merge duplicate accounts|account owner|role hierarchy,Sales Core Guide p220 chunk 23: Merge Duplicate Accounts in Salesforce Classic EDITIONS Available in Salesforce,Merge Duplicate Accounts in Salesforce Classic EDITIONS Available in Salesforce Classic not available in all orgs Business accounts available in All Editions except Database com Person accounts available in Enterprise...
q02,5,lightning_knowledge_guide_p0014_009,False,lightning_knowledge_guide.pdf,14,14,15,Lightning Experience,Lightning Knowledge Guide p14 chunk 9: Lightning Knowledge Limitations EDITIONS Available in Salesforce Classic not available,Lightning Knowledge Limitations EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Salesforce Knowledge is available in Essentials and Unlimited Editions with Service Cloud...
q02,6,lightning_knowledge_guide_p0016_011,False,lightning_knowledge_guide.pdf,16,16,15,Lightning Experience,Lightning Knowledge Guide p16 chunk 11: Console Limitations for Lightning Knowledge The Knowledge footer isn t,Console Limitations for Lightning Knowledge The Knowledge footer isn t in the Lightning Service Console Instead add the Knowledge component to any object s record home page You can also create a global action or an...
q02,7,lightning_knowledge_guide_p0019_013,False,lightning_knowledge_guide.pdf,19,19,15,Lightning Experience,Lightning Knowledge Guide p19 chunk 13: Set Up and Configure Lightning Knowledge EDITIONS Available in Lightning,Set Up and Configure Lightning Knowledge EDITIONS Available in Lightning Experience Salesforce Knowledge is available in Essentials and Unlimited Editions with Service Cloud Salesforce Knowledge is available for an...
q02,8,salesforce_security_impl_guide_p0046_018,False,salesforce_security_impl_guide.pdf,46,46,15,Lightning Experience|role hierarchy,Salesforce Security Implementation Guide p46 chunk 18: What Happens When a User Creates a Record Custom Record,What Happens When a User Creates a Record Custom Record Types in Permission Set or Permission Set Group Assigned Record Type Assigned on Profile Users are prompted to select a record type In their personal settings...
q02,9,lightning_knowledge_guide_p0005_001,False,lightning_knowledge_guide.pdf,5,5,12,Lightning Experience,Lightning Knowledge Guide p5 chunk 1: CREATE A KNOWLEDGE BASE WITH SALESFORCE KNOWLEDGE EDITIONS Available in,CREATE A KNOWLEDGE BASE WITH SALESFORCE KNOWLEDGE EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Salesforce Knowledge is available in Essentials and the Unlimited Edition...
q02,10,lightning_knowledge_guide_p0020_014,False,lightning_knowledge_guide.pdf,20,20,12,Lightning Experience,Lightning Knowledge Guide p20 chunk 14: Enable Lightning Knowledge EDITIONS Available in Lightning Experience Salesforce Knowledge,Enable Lightning Knowledge EDITIONS Available in Lightning Experience Salesforce Knowledge is available in Essentials and Unlimited Editions with Service Cloud Salesforce Knowledge is available for an additional cost...
q02,11,sales_core_p0095_001,False,sales_core.pdf,95,95,12,Lightning Experience,Sales Core Guide p95 chunk 1: Convert Qualified Leads EDITIONS Available in Salesforce Classic not available,Convert Qualified Leads EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro Suite and...
